Case ID,Activity Name,Start Time,End Time
KRD_2024_001,Başvuru Alındı,2024-01-15 09:15:00,2024-01-15 09:30:00
KRD_2024_001,Başvuru Değerlendirme,2024-01-15 10:00:00,2024-01-15 11:45:00
KRD_2024_001,Belge Kontrolü,2024-01-15 14:00:00,2024-01-15 15:30:00
KRD_2024_001,Müdür Onayı,2024-01-16 09:00:00,2024-01-16 09:15:00
KRD_2024_001,Ödeme İşlemi,2024-01-16 11:00:00,2024-01-16 11:30:00
KRD_2024_001,Dosya Arşivleme,2024-01-16 16:45:00,2024-01-16 17:00:00
KRD_2024_002,Başvuru Alındı,2024-01-16 10:30:00,2024-01-16 10:45:00
KRD_2024_002,Başvuru Değerlendirme,2024-01-16 11:00:00,2024-01-16 12:30:00
KRD_2024_002,Belge Kontrolü,2024-01-16 15:00:00,2024-01-16 16:15:00
KRD_2024_002,Eksik Belge Talebi,2024-01-16 16:30:00,2024-01-16 16:45:00
KRD_2024_002,Belge Tamamlama,2024-01-18 09:30:00,2024-01-18 10:00:00
KRD_2024_002,Müdür Onayı,2024-01-18 14:00:00,2024-01-18 14:20:00
KRD_2024_002,Ödeme İşlemi,2024-01-19 10:00:00,2024-01-19 10:45:00
KRD_2024_002,Dosya Arşivleme,2024-01-19 16:30:00,2024-01-19 16:45:00
KRD_2024_003,Başvuru Alındı,2024-01-17 14:15:00,2024-01-17 14:30:00
KRD_2024_003,Başvuru Değerlendirme,2024-01-18 09:00:00,2024-01-18 10:15:00
KRD_2024_003,Belge Kontrolü,2024-01-18 11:00:00,2024-01-18 12:00:00
KRD_2024_003,Müdür Onayı,2024-01-18 15:30:00,2024-01-18 15:45:00
KRD_2024_003,Ödeme İşlemi,2024-01-19 09:15:00,2024-01-19 09:30:00
KRD_2024_003,Dosya Arşivleme,2024-01-19 14:00:00,2024-01-19 14:15:00
KRD_2024_004,Başvuru Alındı,2024-01-22 11:00:00,2024-01-22 11:15:00
KRD_2024_004,Başvuru Değerlendirme,2024-01-22 14:00:00,2024-01-22 15:45:00
KRD_2024_004,Belge Kontrolü,2024-01-23 09:30:00,2024-01-23 11:00:00
KRD_2024_004,Başvuru Reddi,2024-01-23 14:00:00,2024-01-23 14:30:00
KRD_2024_004,Dosya Arşivleme,2024-01-23 16:45:00,2024-01-23 17:00:00
KRD_2024_005,Başvuru Alındı,2024-01-23 09:45:00,2024-01-23 10:00:00
KRD_2024_005,Başvuru Değerlendirme,2024-01-23 11:00:00,2024-01-23 12:15:00
KRD_2024_005,Belge Kontrolü,2024-01-23 14:30:00,2024-01-23 15:45:00
KRD_2024_005,Hızlı Onay,2024-01-23 16:00:00,2024-01-23 16:10:00
KRD_2024_005,Ödeme İşlemi,2024-01-24 09:00:00,2024-01-24 09:15:00
KRD_2024_005,Dosya Arşivleme,2024-01-24 11:30:00,2024-01-24 11:45:00
KRD_2024_006,Başvuru Alındı,2024-01-24 15:30:00,2024-01-24 15:45:00
KRD_2024_006,Başvuru Değerlendirme,2024-01-25 09:00:00,2024-01-25 11:30:00
KRD_2024_006,Belge Kontrolü,2024-01-25 14:00:00,2024-01-25 16:00:00
KRD_2024_006,Üst Yönetici Onayı,2024-01-26 10:00:00,2024-01-26 10:30:00
KRD_2024_006,Ödeme İşlemi,2024-01-26 14:00:00,2024-01-26 14:45:00
KRD_2024_006,Dosya Arşivleme,2024-01-26 16:15:00,2024-01-26 16:30:00
KRD_2024_007,Başvuru Alındı,2024-01-29 10:15:00,2024-01-29 10:30:00
KRD_2024_007,Başvuru Değerlendirme,2024-01-29 11:00:00,2024-01-29 12:45:00
KRD_2024_007,Belge Kontrolü,2024-01-29 15:00:00,2024-01-29 16:30:00
KRD_2024_007,Müdür Onayı,2024-01-30 09:30:00,2024-01-30 09:45:00
KRD_2024_007,Ödeme İşlemi,2024-01-30 11:00:00,2024-01-30 11:30:00
KRD_2024_007,Dosya Arşivleme,2024-01-30 16:00:00,2024-01-30 16:15:00
KRD_2024_008,Başvuru Alındı,2024-01-30 14:00:00,2024-01-30 14:15:00
KRD_2024_008,Başvuru Değerlendirme,2024-01-31 09:00:00,2024-01-31 10:30:00
KRD_2024_008,Belge Kontrolü,2024-01-31 11:00:00,2024-01-31 12:15:00
KRD_2024_008,Eksik Belge Talebi,2024-01-31 14:00:00,2024-01-31 14:15:00
KRD_2024_008,Belge Tamamlama,2024-02-02 10:00:00,2024-02-02 10:30:00
KRD_2024_008,Müdür Onayı,2024-02-02 15:00:00,2024-02-02 15:15:00
KRD_2024_008,Ödeme İşlemi,2024-02-05 09:30:00,2024-02-05 10:00:00
KRD_2024_008,Dosya Arşivleme,2024-02-05 14:30:00,2024-02-05 14:45:00
KRD_2024_009,Başvuru Alındı,2024-02-01 09:00:00,2024-02-01 09:15:00
KRD_2024_009,Başvuru Değerlendirme,2024-02-01 10:00:00,2024-02-01 11:45:00
KRD_2024_009,Belge Kontrolü,2024-02-01 14:30:00,2024-02-01 15:30:00
